,filenames,binids
619,tc0150§0035,4
620,tc0132§0022,2
621,tc0160§0002,0
622,tc0160§0011,1
623,tc0131§0011,1
624,tc0174§0039,4
625,tc0180§0005,0
626,tc0130§0029,3
627,tc0174§0015,1
628,tc0146§0037,4
629,tc0150§0018,2
630,tc0131§0037,4
631,tc0148§0026,3
632,tc0158§0001,0
633,tc0167§0016,1
634,tc0164§0017,1
635,tc0154§0031,3
636,tc0146§0005,0
637,tc0155§0006,0
638,tc0180§0001,0
639,tc0162§0042,4
640,tc0147§0040,4
641,tc0160§0014,1
642,tc0164§0024,2
643,tc0148§0036,4
644,tc0164§0001,0
645,tc0160§0039,3
646,tc0153§0009,0
647,tc0178§0029,3
648,tc0132§0040,4
649,tc0132§0029,3
650,tc0191§0009,0
651,tc0160§0028,2
652,tc0167§0005,0
653,tc0134§0004,0
654,tc0168§0039,4
655,tc0178§0023,2
656,tc0152§0038,4
657,tc0152§0032,3
658,tc0179§0032,3
659,tc0189§0028,2
660,tc0131§0013,1
661,tc0132§0032,3
662,tc0136§0023,2
663,tc0147§0035,4
664,tc0164§0009,0
665,tc0143§0029,3
666,tc0131§0031,4
667,tc0132§0019,2
668,tc0174§0017,2
669,tc0189§0039,4
670,tc0146§0044,4
671,tc0143§0001,0
672,tc0168§0041,4
673,tc0178§0022,2
674,tc0168§0028,3
675,tc0180§0043,4
676,tc0143§0031,3
677,tc0152§0007,0
678,tc0174§0032,3
679,tc0152§0021,2
680,tc0152§0004,0
681,tc0152§0039,4
682,tc0134§0014,1
683,tc0158§0035,4
684,tc0167§0027,2
685,tc0147§0002,0
686,tc0148§0009,0
687,tc0178§0044,4
688,tc0155§0035,3
689,tc0158§0004,0
690,tc0153§0011,1
691,tc0158§0013,1
692,tc0134§0018,2
693,tc0130§0016,1
694,tc0158§0014,1
695,tc0178§0014,1
696,tc0180§0017,1
697,tc0174§0022,2
698,tc0178§0034,3
699,tc0162§0027,3
700,tc0179§0011,1
701,tc0188§0023,2
702,tc0148§0004,0
703,tc0153§0014,1
704,tc0148§0031,3
705,tc0187§0014,1
706,tc0178§0038,4
707,tc0160§0030,2
708,tc0148§0010,1
709,tc0146§0023,2
710,tc0176§0036,4
711,tc0134§0022,2
712,tc0162§0020,2
713,tc0153§0030,3
714,tc0136§0011,1
715,tc0154§0019,2
716,tc0164§0016,1
717,tc0139§0018,2
718,tc0132§0026,3
719,tc0147§0018,2
720,tc0152§0019,2
721,tc0168§0008,0
722,tc0139§0028,3
723,tc0147§0037,4
724,tc0162§0006,0
725,tc0188§0001,0
726,tc0160§0041,4
727,tc0139§0029,3
728,tc0147§0013,1
729,tc0162§0032,3
730,tc0147§0027,3
731,tc0187§0048,4
732,tc0191§0037,4
733,tc0180§0022,2
734,tc0191§0002,0
735,tc0132§0030,3
736,tc0132§0007,0
737,tc0154§0039,4
738,tc0176§0018,2
739,tc0148§0041,4
740,tc0146§0017,1
741,tc0136§0039,4
742,tc0188§0035,3
743,tc0155§0003,0
744,tc0168§0013,1
745,tc0146§0002,0
746,tc0152§0027,3
747,tc0132§0005,0
748,tc0150§0029,3
749,tc0131§0012,1
750,tc0155§0002,0
751,tc0147§0032,3
752,tc0164§0039,4
753,tc0158§0037,4
754,tc0189§0009,0
755,tc0139§0006,0
756,tc0191§0024,2
757,tc0150§0030,3
758,tc0180§0011,1
759,tc0160§0019,1
760,tc0188§0016,1
761,tc0139§0016,1
762,tc0155§0014,1
763,tc0179§0027,3
764,tc0147§0017,2
765,tc0134§0019,2
766,tc0148§0017,1
767,tc0150§0013,1
768,tc0191§0033,3
769,tc0139§0035,4
770,tc0152§0026,3
771,tc0158§0008,0
772,tc0134§0035,4
773,tc0162§0017,1
774,tc0189§0001,0
775,tc0189§0042,4
776,tc0148§0034,3
777,tc0191§0011,1
778,tc0188§0019,1
779,tc0139§0013,1
780,tc0187§0005,0
781,tc0187§0007,0
782,tc0187§0016,1
783,tc0146§0040,4
784,tc0150§0020,2
785,tc0164§0033,3
786,tc0136§0007,0
787,tc0158§0002,0
788,tc0160§0024,2
789,tc0188§0010,0
790,tc0146§0028,3
791,tc0189§0036,3
792,tc0168§0011,1
793,tc0167§0029,3
794,tc0134§0023,2
795,tc0136§0016,1
796,tc0134§0001,0
797,tc0130§0032,3
798,tc0158§0042,4
799,tc0150§0007,0
800,tc0134§0024,2
801,tc0179§0030,3
802,tc0188§0034,3
803,tc0152§0005,0
804,tc0131§0019,2
805,tc0147§0024,2
806,tc0189§0035,3
807,tc0158§0025,2
808,tc0154§0022,2
809,tc0131§0017,2
810,tc0147§0007,0
811,tc0143§0012,1
812,tc0148§0005,0
813,tc0143§0039,4
814,tc0150§0004,0
815,tc0139§0019,2
816,tc0164§0043,4
817,tc0150§0003,0
818,tc0187§0026,2
819,tc0136§0027,3
820,tc0191§0017,1
821,tc0176§0021,2
822,tc0187§0038,3
823,tc0176§0040,4
824,tc0189§0008,0
825,tc0146§0025,2
826,tc0146§0030,3
827,tc0146§0015,1
828,tc0153§0043,4
829,tc0130§0034,3
830,tc0154§0035,4
831,tc0164§0007,0
832,tc0152§0006,0
833,tc0139§0008,0
834,tc0155§0012,1
835,tc0154§0033,3
836,tc0132§0001,0
837,tc0180§0008,0
838,tc0176§0022,2
839,tc0187§0021,2
840,tc0152§0030,3
841,tc0148§0013,1
842,tc0187§0029,2
843,tc0136§0017,2
844,tc0136§0036,4
845,tc0160§0047,4
846,tc0164§0037,3
847,tc0155§0034,3
848,tc0132§0020,2
849,tc0134§0017,2
850,tc0174§0025,2
851,tc0160§0045,4
852,tc0188§0028,2
853,tc0153§0024,2
854,tc0136§0032,3
855,tc0164§0003,0
856,tc0152§0036,4
857,tc0146§0027,2
858,tc0146§0035,3
859,tc0174§0036,4
860,tc0189§0006,0
861,tc0162§0033,3
862,tc0152§0023,2
863,tc0176§0007,0
864,tc0160§0022,2
865,tc0164§0008,0
866,tc0150§0032,3
867,tc0187§0011,1
868,tc0146§0003,0
869,tc0158§0034,3
870,tc0180§0037,4
871,tc0136§0018,2
872,tc0180§0025,2
873,tc0187§0023,2
874,tc0179§0028,3
875,tc0164§0031,3
876,tc0187§0006,0
877,tc0153§0007,0
878,tc0180§0030,3
879,tc0131§0032,4
880,tc0160§0003,0
881,tc0179§0020,2
882,tc0189§0003,0
883,tc0134§0013,1
884,tc0187§0043,4
885,tc0136§0020,2
886,tc0174§0041,4
887,tc0150§0027,3
888,tc0180§0034,3
889,tc0178§0043,4
890,tc0132§0031,3
891,tc0150§0011,1
892,tc0188§0027,2
893,tc0148§0003,0
894,tc0178§0015,1
895,tc0178§0030,3
896,tc0191§0038,4
897,tc0158§0041,4
898,tc0134§0031,3
899,tc0187§0032,3
900,tc0132§0025,2
901,tc0158§0012,1
902,tc0143§0030,3
903,tc0168§0029,3
904,tc0130§0005,0
905,tc0158§0015,1
906,tc0130§0024,2
907,tc0176§0025,2
908,tc0160§0021,2
909,tc0148§0042,4
910,tc0178§0013,1
911,tc0158§0016,1
912,tc0143§0023,2
913,tc0179§0039,4
914,tc0136§0038,4
915,tc0131§0033,4
916,tc0132§0015,1
917,tc0139§0034,4
918,tc0162§0029,3
919,tc0187§0044,4
920,tc0167§0031,3
921,tc0152§0001,0
922,tc0154§0008,0
923,tc0176§0030,3
924,tc0176§0006,0
925,tc0153§0037,4
926,tc0131§0020,2
927,tc0143§0035,4
928,tc0191§0025,2
929,tc0191§0035,3
930,tc0160§0009,0
931,tc0176§0031,3
932,tc0131§0021,2
933,tc0180§0024,2
934,tc0167§0044,4
935,tc0134§0034,4
936,tc0162§0026,2
937,tc0191§0005,0
938,tc0134§0028,3
939,tc0189§0044,4
940,tc0160§0038,3
941,tc0160§0049,4
942,tc0136§0025,2
943,tc0136§0029,3
944,tc0176§0038,4
945,tc0176§0028,3
946,tc0130§0007,0
947,tc0167§0039,4
948,tc0189§0027,2
949,tc0176§0001,0
950,tc0180§0031,3
951,tc0180§0041,4
952,tc0167§0004,0
953,tc0158§0006,0
954,tc0162§0030,3
955,tc0180§0028,3
956,tc0168§0010,1
957,tc0174§0024,2
958,tc0153§0003,0
959,tc0154§0028,3
960,tc0162§0014,1
961,tc0154§0002,0
962,tc0154§0026,3
963,tc0155§0005,0
964,tc0131§0015,1
965,tc0134§0005,0
966,tc0136§0035,4
967,tc0179§0015,1
968,tc0154§0021,2
969,tc0189§0033,3
970,tc0148§0025,2
971,tc0158§0031,3
972,tc0167§0010,1
973,tc0179§0042,4
974,tc0191§0044,4
975,tc0150§0005,0
